ticker,date,open,high,low,close
XRPN,2025-10-31,10.31,10.31,10.27,10.31
XRPN,2025-11-03,10.31,10.346,10.27,10.27
XRPN,2025-11-04,10.31,10.31,10.25,10.25
XRPN,2025-11-05,10.27,10.27,10.24,10.26
XRPN,2025-11-06,10.27,10.28,10.2323,10.24
XRPN,2025-11-07,10.22,10.26,10.22,10.23
XRPN,2025-11-10,10.29,10.29,10.24,10.2435
XRPN,2025-11-11,10.27,10.27,10.24,10.24
XRPN,2025-11-12,10.27,10.27,10.24,10.2416
XRPN,2025-11-13,10.24,10.24,10.23,10.24
XRPN,2025-11-14,10.24,10.25,10.22,10.22
XRPN,2025-11-17,10.22,10.24,10.1949,10.2
XRPN,2025-11-18,10.2,10.2098,10.17,10.175
XRPN,2025-11-19,10.17,10.18,10.1691,10.1716
XRPN,2025-11-20,10.17,10.195,10.15,10.1758
XRPN,2025-11-21,10.15,10.21,10.15,10.18
XRPN,2025-11-24,10.18,10.2096,10.16,10.17
XRPN,2025-11-25,10.17,10.22,10.1602,10.17
XRPN,2025-11-26,10.17,10.19,10.1,10.15
XRPN,2025-11-28,10.22,10.22,10.15,10.16
XRPN,2025-12-01,10.22,10.22,10.16,10.16
XRPN,2025-12-02,10.17,10.17,10.1514,10.16
XRPN,2025-12-03,10.17,10.17,10.15,10.17
XRPN,2025-12-04,10.17,10.17,10.15,10.16
XRPN,2025-12-05,10.16,10.18,10.155,10.17
XRPN,2025-12-08,10.18,10.19,10.17,10.19
XRPN,2025-12-09,10.2,10.2,10.16,10.17
XRPN,2025-12-10,10.17,10.1995,10.17,10.18
XRPN,2025-12-11,10.18,10.18,10.16,10.17
XRPN,2025-12-12,10.25,10.25,10.19,10.19
