ticker,date,open,high,low,close
IMSR,2025-10-29,19.6,21.0,18.0,19.08
IMSR,2025-10-30,18.7,18.7899,16.05,16.52
IMSR,2025-10-31,16.46,17.3986,15.75,17.0
IMSR,2025-11-03,15.88,16.38,14.91,15.39
IMSR,2025-11-04,14.0,14.75,13.55,13.66
IMSR,2025-11-05,14.51,16.0,14.48,15.53
IMSR,2025-11-06,15.02,15.49,13.58,13.7
IMSR,2025-11-07,13.06,14.0599,12.82,13.91
IMSR,2025-11-10,14.26,14.2852,13.2501,13.71
IMSR,2025-11-11,13.49,13.75,12.81,13.44
IMSR,2025-11-12,13.35,14.28,12.85,13.46
IMSR,2025-11-13,13.15,13.3071,11.9,11.99
IMSR,2025-11-14,11.32,12.7,10.9,12.07
IMSR,2025-11-17,11.42,12.0,10.8919,11.6
IMSR,2025-11-18,11.35,12.29,11.06,11.85
IMSR,2025-11-19,12.0,12.18,11.05,11.16
IMSR,2025-11-20,11.3,11.9,10.03,10.175
IMSR,2025-11-21,10.02,10.1099,9.21,9.64
IMSR,2025-11-24,9.54,9.79,8.6509,8.79
IMSR,2025-11-25,8.74,8.83,7.52,8.46
IMSR,2025-11-26,8.555,9.29,7.66,9.09
IMSR,2025-11-28,9.25,9.91,9.24,9.44
IMSR,2025-12-01,9.05,9.13,8.48,8.72
IMSR,2025-12-02,8.98,9.5,8.88,9.23
IMSR,2025-12-03,9.04,9.725,8.5,9.6
IMSR,2025-12-04,9.51,11.04,9.4,10.79
IMSR,2025-12-05,10.5,10.5,9.13,9.31
IMSR,2025-12-08,9.54,9.76,9.26,9.405
IMSR,2025-12-09,9.26,9.5288,8.9,9.38
IMSR,2025-12-10,9.2,9.485,8.72,9.2
IMSR,2025-12-11,9.1,9.75,8.71,9.59
IMSR,2025-12-12,9.57,10.07,8.79,8.82
