ticker,date,open,high,low,close
LKSP,2025-11-07,9.93,9.935,9.93,9.93
LKSP,2025-11-10,9.935,9.9399,9.93,9.93
LKSP,2025-11-11,9.94,9.95,9.935,9.945
LKSP,2025-11-12,9.94,9.94,9.93,9.93
LKSP,2025-11-13,9.94,9.94,9.93,9.94
LKSP,2025-11-14,9.93,9.93,9.92,9.93
LKSP,2025-11-17,9.91,9.93,9.91,9.93
LKSP,2025-11-18,9.9108,9.94,9.9108,9.9276
LKSP,2025-11-19,9.94,9.94,9.92,9.92
LKSP,2025-11-20,9.93,9.94,9.93,9.93
LKSP,2025-11-21,9.95,9.95,9.9,9.9
LKSP,2025-11-24,9.9,9.9,9.9,9.9
LKSP,2025-11-26,9.92,9.925,9.92,9.92
LKSP,2025-11-28,9.91,9.91,9.91,9.91
LKSP,2025-12-01,9.92,9.92,9.92,9.92
LKSP,2025-12-02,9.9149,9.9149,9.9149,9.9149
LKSP,2025-12-03,9.93,9.93,9.93,9.93
LKSP,2025-12-04,9.92,9.92,9.92,9.92
LKSP,2025-12-05,9.92,9.92,9.9,9.9
LKSP,2025-12-08,9.91,9.91,9.91,9.91
LKSP,2025-12-09,9.92,9.93,9.92,9.93
LKSP,2025-12-10,9.93,9.93,9.93,9.93
LKSP,2025-12-11,9.93,9.93,9.925,9.93
LKSP,2025-12-12,9.93,9.93,9.93,9.93
